Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
	FALSE	yhbT	predicted lipid carrier protein	cmr|b3157|asap|ABE-0010375	orf, hypothetical protein [b3157]
cmr|c_3404|asap|ABR-0079562	FALSE			cmr|c_3404|asap|ABR-0079562	Hypothetical protein [c_3404]
	FALSE	L7091	putative nickase	asap|ABH-0244166	putative nickase [L7091]
	FALSE	yfiP	Hypothetical protein yfiP	cmr|c_3108|asap|ABR-0079251	Hypothetical protein yfiP [c_3108]
	FALSE	torR	DNA-binding response regulator in two-component regulatory system with TorS	cmr|c_1131|asap|ABR-0077225	TorCAD operon transcriptional Regulatory protein torR [c_1131]
	FALSE	ECs4052	argininosuccinate synthase	cmr|ECs4052|asap|ACA-0134115	argininosuccinate synthetase [ECs4052]
	FALSE	Z1130	hypothetical protein	cmr|Z1130|cmr|Z1569|asap|ABH-0024953|asap|ABH-0025375	orf Unknown function [Z1130]
	FALSE	ycgV	predicted adhesin	cmr|b1202|asap|ABE-0004035	putative adhesion and penetration protein [b1202]
	FALSE	anmK	anhydro-N-acetylmuramic acid kinase	cmr|Z2654|asap|ABH-0026429	orf, hypothetical protein [Z2654]
	FALSE	ynjI	predicted inner membrane protein	cmr|b1762|asap|ABE-0005867	orf, hypothetical protein [b1762]
	FALSE	xthA	exonuclease III	cmr|b1749|asap|ABE-0005829	exonuclease III [b1749]
	FALSE	ybbN	predicted thioredoxin domain-containing protein	cmr|b0492|asap|ABE-0001707	putative thioredoxin-like protein [b0492]
	FALSE	xisN	putative excisionase for prophage CP-933N	cmr|Z1765|asap|ABH-0025564	putative excisionase for prophage CP-933N [Z1765]
cmr|c_2063|asap|ABR-0078181	FALSE			cmr|c_2063|asap|ABR-0078181	Hypothetical protein [c_2063]
	FALSE	trxA	thioredoxin	cmr|ECs4714|asap|ACA-0134798	thioredoxin 1 [ECs4714]
	FALSE	ygjV	Hypothetical protein ygjV	cmr|c_3848|asap|ABR-0080020	Hypothetical protein ygjV [c_3848]
	FALSE	ECs0324	putative regulator	cmr|ECs0324|asap|ACA-0130214	putative regulator [ECs0324]
	FALSE	ybcV	DLP12 prophage; predicted protein	cmr|b0558|asap|ABE-0001907	putative an envelop protein [b0558]
	FALSE	racR	Rac prophage; predicted DNA-binding transcriptional regulator	cmr|b1356|asap|ABE-0004548	orf, hypothetical protein [b1356]
cmr|c_3410|asap|ABR-0079568	FALSE			cmr|c_3410|asap|ABR-0079568	Hypothetical protein [c_3410]
	FALSE	ECs0453	maltodextrin glucosidase	cmr|ECs0453|asap|ACA-0130344	maltodextrin glucosidase [ECs0453]
	FALSE	ykgL	predicted protein	cmr|b0295|asap|ABE-0001019	orf, hypothetical protein [b0295]
	FALSE	yhiI	predicted HlyD family secretion protein	cmr|b3487|asap|ABE-0011385	putative membrane protein [b3487]
	FALSE	ECs0841	putative tail assembly protein	cmr|ECs0841|cmr|ECs1647|asap|ACA-0130752|asap|ACA-0131596	putative tail assembly protein [ECs0841]
	FALSE	ECs1077	hypothetical protein	cmr|ECs1077|asap|ACA-0130992	hypothetical protein [ECs1077]
	FALSE	Z3262	hypothetical protein	cmr|Z3262|asap|ABH-0026988	orf, hypothetical protein [Z3262]
	FALSE	uspC	universal stress protein	cmr|b1895|asap|ABE-0006316	putative regulator [b1895]
	FALSE	Z2804	unknown protein encoded within IS629	cmr|Z2804|cmr|Z1199|cmr|Z1222|cmr|Z1639	unknown protein encoded within IS629 [Z2804]
	FALSE	gpmA	phosphoglyceromutase 1	cmr|b0755|asap|ABE-0002563	phosphoglyceromutase 1 [b0755]
cmr|c_1891|asap|ABR-0078009	FALSE			cmr|c_1891|asap|ABR-0078009	Hypothetical protein [c_1891]
	FALSE	ydcL	predicted lipoprotein	cmr|b1431|asap|ABE-0004775	orf, hypothetical protein [b1431]
cmr|b3489|asap|ABE-0011391	FALSE			cmr|b3489|asap|ABE-0011391	orf, hypothetical protein [b3489]
	FALSE	zitB	zinc efflux system	cmr|b0752|asap|ABE-0002549	putative transport system permease protein [b0752]
	FALSE	malI	DNA-binding transcriptional repressor	cmr|c_2012|asap|ABR-0078127	Maltose regulon Regulatory protein malI [c_2012]
	FALSE	ycfP	conserved protein	cmr|b1108|asap|ABE-0003740	orf, hypothetical protein [b1108]
cmr|c_0960|asap|ABR-0077051	FALSE			cmr|c_0960|asap|ABR-0077051	Putative phage tail protein [c_0960]
	FALSE	ECs0454	hypothetical protein	cmr|ECs0454|asap|ACA-0130345	hypothetical protein [ECs0454]
cmr|c_4745|asap|ABR-0080941	FALSE			cmr|c_4745|asap|ABR-0080941	Hypothetical protein [c_4745]
	FALSE	ECs1262	hypothetical protein	cmr|ECs1262|asap|ACA-0131190	hypothetical protein [ECs1262]
cmr|b1416|asap|ABE-0004727	FALSE			cmr|b1416|asap|ABE-0004727	glyceraldehyde-3-phosphate dehydrogenase [b1416]
cmr|ECs1907|asap|ACA-0131871	FALSE			cmr|ECs1907|asap|ACA-0131871	hypothetical protein [ECs1907]
	FALSE	ydiM	predicted transporter	cmr|b1690|asap|ABE-0005645	putative transport system permease protein [b1690]
cmr|c_2520|asap|ABR-0078653	FALSE			cmr|c_2520|asap|ABR-0078653	Conserved hypothetical protein [c_2520]
	FALSE	essQ	Qin prophage; predicted S lysis protein	cmr|b1556|asap|ABE-0005197	orf, hypothetical protein [b1556]
	FALSE	ECs1384	hypothetical protein	cmr|ECs1384|asap|ACA-0131327	hypothetical protein [ECs1384]
	FALSE	ECs1335	hypothetical protein	cmr|ECs1335|asap|ACA-0131272	hypothetical protein [ECs1335]
cmr|c_1593|asap|ABR-0077704	FALSE			cmr|c_1593|asap|ABR-0077704	Hypothetical protein [c_1593]
	FALSE	tolQ	membrane spanning protein in TolA-TolQ-TolR complex	cmr|b0737|asap|ABE-0002511	inner membrane protein, membrane-spanning, maintains integrity of cell envelope; tolerance to group A colicins [b0737]
cmr|c_2411|asap|ABR-0078534	FALSE			cmr|c_2411|asap|ABR-0078534	DNA-binding protein H-NS [c_2411]
	FALSE	paaX	DNA-binding transcriptional repressor of phenylacetic acid degradation, aryl-CoA responsive	cmr|b1399|asap|ABE-0004674	orf, hypothetical protein [b1399]
	FALSE	ECs3968	hypothetical protein	cmr|ECs3968|asap|ACA-0134026	hypothetical protein [ECs3968]
cmr|c_3031|asap|ABR-0079175	FALSE			cmr|c_3031|asap|ABR-0079175	SinH homolog [c_3031]
	FALSE	yeiH	conserved inner membrane protein	cmr|b2158|asap|ABE-0007142	orf, hypothetical protein [b2158]
	FALSE	ddpD	D-ala-D-ala transporter subunit	cmr|b1484|asap|ABE-0004949	putative ATP-binding component of a transport system [b1484]
	FALSE	guaD	guanine deaminase	cmr|b2883|asap|ABE-0009465	orf, hypothetical protein [b2883]
--ETG02_36680	pos				
	FALSE	hflD	predicted lysogenization regulator	cmr|b1132|asap|ABE-0003812	orf, hypothetical protein [b1132]
	FALSE	uxuA	mannonate hydrolase	cmr|b4322|asap|ABE-0014173	mannonate hydrolase [b4322]
	FALSE	puuR	DNA-binding transcriptional repressor	cmr|b1299|asap|ABE-0004371	orf, hypothetical protein [b1299]
	FALSE	ECs1751	YciI-like protein	cmr|ECs1751|asap|ACA-0131705	hypothetical protein [ECs1751]
cmr|c_2485|asap|ABR-0078616	FALSE			cmr|c_2485|asap|ABR-0078616	Hypothetical protein ybdN [c_2485]
cmr|c_4214|asap|ABR-0080390	FALSE			cmr|c_4214|asap|ABR-0080390	Putative major fimbrial subunit precursor [c_4214]
	FALSE	minE	cell division topological specificity factor	cmr|b1174|asap|ABE-0003935	cell division topological specificity factor, reverses MinC inhibition of ftsZ ring formation [b1174]
	FALSE	vgrE	unknown protein associated with Rhs element	cmr|Z2262|asap|ABH-0026036	unknown protein associated with Rhs element [Z2262]
cmr|c_0386|asap|ABR-0076460	FALSE			cmr|c_0386|asap|ABR-0076460	Hypothetical protein yafA [c_0386]
cmr|c_3928	FALSE			cmr|c_3928	Hypothetical protein [c_3928]
cmr|Z5693|cmr|Z5692|asap|ABH-0029266|asap|ABH-0029267	FALSE			cmr|Z5693|cmr|Z5692|asap|ABH-0029266|asap|ABH-0029267	orf Unknown function [Z5693]
	FALSE	ydiR	predicted electron transfer flavoprotein, FAD-binding	cmr|b1698|asap|ABE-0005668	putative flavoprotein [b1698]
cmr|c_1174|asap|ABR-0077269	FALSE			cmr|c_1174|asap|ABR-0077269	Hypothetical protein [c_1174]
	FALSE	ECs0679	LPS-assembly lipoprotein RplB	cmr|ECs0679|asap|ACA-0130573	minor lipoprotein [ECs0679]
cmr|c_1862|asap|ABR-0077979	FALSE			cmr|c_1862|asap|ABR-0077979	Hypothetical protein [c_1862]
	FALSE	yiaN	Hypothetical protein yiaN	cmr|c_4400|asap|ABR-0080577	Hypothetical protein yiaN [c_4400]
	FALSE	Z4198	putative regulatory protein for type III secretion apparatus	cmr|Z4198|asap|ABH-0027870	putative regulatory protein for type III secretion [Z4198]
	FALSE	ECs1193	hypothetical protein	cmr|ECs1193|cmr|ECs2983|asap|ACA-0131115|asap|ACA-0132991	hypothetical protein [ECs1193]
cmr|c_2499|cmr|c_3647|asap|ABR-0078629|asap|ABR-0079817	FALSE			cmr|c_2499|cmr|c_3647|asap|ABR-0078629|asap|ABR-0079817	Hypothetical protein [c_2499]
cmr|b4223	FALSE			cmr|b4223	orf, hypothetical protein [b4223]
	FALSE	Z5691	putative ATP-binding protein of ribose ABC transport system	cmr|Z5691|asap|ABH-0029265	putative ATP-binding protein of ribose ABC transport [Z5691]
	FALSE	Z4801	putative ATP-dependent DNA helicase (together with adjacent 3 orfs)	cmr|Z4801|asap|ABH-0028455	putative ATP-dependent DNA helicase [Z4801]
	FALSE	phoB	DNA-binding response regulator in two-component regulatory system with PhoR (or CreC)	cmr|c_0508|asap|ABR-0076582	Phosphate regulon transcriptional Regulatory protein phoB [c_0508]
	FALSE	livG	leucine/isoleucine/valine transporter subunit	cmr|b3455|asap|ABE-0011284	ATP-binding component of high-affinity branched-chain amino acid transport system [b3455]
	FALSE	ECs0238	hypothetical protein	cmr|ECs0238|asap|ACA-0130124	hypothetical protein [ECs0238]
cmr|c_1551|asap|ABR-0077661	FALSE			cmr|c_1551|asap|ABR-0077661	Putative exclusion protein ren of prophage [c_1551]
	FALSE	yfeZ	predicted inner membrane protein	cmr|b2433|asap|ABE-0008023	orf, hypothetical protein [b2433]
	FALSE	anmK	anhydro-N-acetylmuramic acid kinase	cmr|ECs2349|asap|ACA-0132330	hypothetical protein [ECs2349]
	FALSE	nagA	N-acetylglucosamine-6-phosphate deacetylase	cmr|b0677|asap|ABE-0002301	N-acetylglucosamine-6-phosphate deacetylase [b0677]
	FALSE	ybdA	enterobactin exporter EntS	cmr|c_0678|asap|ABR-0076754	Hypothetical membrane protein P43 [c_0678]
	FALSE	hisQ	histidine/lysine/arginine/ornithine transporter subunit	cmr|b2308|asap|ABE-0007615	histidine transport system permease protein [b2308]
cmr|c_3695|asap|ABR-0079865	FALSE			cmr|c_3695|asap|ABR-0079865	Hypothetical protein [c_3695]
	FALSE	Z1492	unknown protein encoded by bacteriophage BP-933W	cmr|Z1492|asap|ABH-0025301	unknown protein encoded by bacteriophage BP-933W [Z1492]
	FALSE	alkA	3-methyl-adenine DNA glycosylase II	cmr|c_2595|asap|ABR-0078729	DNA-3-methyladenine glycosylase II [c_2595]
	FALSE	mukF	Involved in chromosome partioning, Ca2+ binding protein	cmr|b0922|asap|ABE-0003134	mukF protein [b0922]
	FALSE	yqgA	predicted inner membrane protein	cmr|b2966|asap|ABE-0009736	putative transport protein [b2966]
cmr|ECs3634	FALSE			cmr|ECs3634	hypothetical protein [ECs3634]
cmr|c_4279|asap|ABR-0080455	FALSE			cmr|c_4279|asap|ABR-0080455	PTS system, galactitol-specific IIC component [c_4279]
	FALSE	ulaB	L-ascorbate-specific enzyme IIB component of PTS	cmr|b4194|asap|ABE-0013725	orf, hypothetical protein [b4194]
	FALSE	ydhR	predicted protein	cmr|b1667|asap|ABE-0005572	orf, hypothetical protein [b1667]
cmr|c_5164|asap|ABR-0081371	FALSE			cmr|c_5164|asap|ABR-0081371	Hypothetical protein [c_5164]
	FALSE	papA	PapA protein	cmr|c_3592|asap|ABR-0079756	PapA protein [c_3592]
	FALSE	yeiI	predicted kinase	cmr|c_2695|asap|ABR-0078831	Hypothetical sugar kinase yeiI [c_2695]
	FALSE	ykfI	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	cmr|b0245|asap|ABE-0000836	orf, hypothetical protein [b0245]
	FALSE	alpA	Prophage CP4-57 Regulatory protein alpA	cmr|c_1169|asap|ABR-0077264	Prophage CP4-57 Regulatory protein alpA [c_1169]
	FALSE	pbpC	penicillin-binding protein 1C	cmr|c_3042|asap|ABR-0079186	Penicillin-binding protein 1C [c_3042]
	FALSE	fumB	Fumarate hydratase class I, anaerobic	cmr|c_5127|asap|ABR-0081333	Fumarate hydratase class I, anaerobic [c_5127]
	FALSE	argG	argininosuccinate synthetase	cmr|b3172|asap|ABE-0010428	argininosuccinate synthetase [b3172]
	FALSE	lar	restriction alleviation and modification protein	cmr|ECs1932|asap|ACA-0131897	restriction alleviation and modification enhancement protein [ECs1932]
cmr|c_4849|asap|ABR-0081047	FALSE			cmr|c_4849|asap|ABR-0081047	Putative glycoporin [c_4849]
	FALSE	yajD	conserved protein	cmr|b0410|asap|ABE-0001422	orf, hypothetical protein [b0410]
	FALSE	pspA	Phage shock protein A	cmr|c_1774|asap|ABR-0077890	Phage shock protein A [c_1774]
	FALSE	flgC	flagellar component of cell-proximal portion of basal-body rod	cmr|b1074|asap|ABE-0003643	flagellar biosynthesis, cell-proximal portion of basal-body rod [b1074]
	FALSE	Z1170	hypothetical protein	cmr|Z1170|cmr|Z1609|asap|ABH-0024993|asap|ABH-0025415	orf Unknown function [Z1170]
	FALSE	ykiA	pseudo	cmr|b0392|asap|ABE-0001363	orf, hypothetical protein [b0392]
	FALSE	yadH	Hypothetical protein yadH	cmr|c_0157|asap|ABR-0076221	Hypothetical protein yadH [c_0157]
cmr|c_5374|asap|ABR-0081589	FALSE			cmr|c_5374|asap|ABR-0081589	Hypothetical protein [c_5374]
	FALSE	yedZ	putative sulfite oxidase subunit YedZ	cmr|c_2390|asap|ABR-0078513	Hypothetical protein yedZ [c_2390]
cmr|c_4626|asap|ABR-0080810	FALSE			cmr|c_4626|asap|ABR-0080810	Hypothetical protein [c_4626]
	FALSE	ydiI	conserved protein	cmr|b1686|asap|ABE-0005628	orf, hypothetical protein [b1686]
	FALSE	dnaE	DNA polymerase III alpha subunit	cmr|b0184|asap|ABE-0000624	DNA polymerase III, alpha subunit [b0184]
	FALSE	Z2102	unknown protein encoded within prophage CP-933O	cmr|Z2102|asap|ABH-0025881	unknown protein encoded within prophage CP-933O [Z2102]
cmr|c_1208|asap|ABR-0077303	FALSE			cmr|c_1208|asap|ABR-0077303	Hypothetical protein [c_1208]
	FALSE	napB	nitrate reductase, small, cytochrome C550 subunit, periplasmic	cmr|b2203|asap|ABE-0007283	cytochrome c-type protein [b2203]
	FALSE	ECs1303	hypothetical protein	cmr|ECs1303|asap|ACA-0131233	hypothetical protein [ECs1303]
	FALSE	yahG	conserved protein	cmr|b0321|asap|ABE-0001101	orf, hypothetical protein [b0321]
	FALSE	sdhA	succinate dehydrogenase, flavoprotein subunit	cmr|b0723|asap|ABE-0002466	succinate dehydrogenase, flavoprotein subunit [b0723]
	FALSE	copA	copper transporter	cmr|b0484|asap|ABE-0001681	putative ATPase [b0484]
	FALSE	ECs2946	putative tail assembly protein	cmr|ECs2946|cmr|ECs2163|cmr|ECs2722|asap|ACA-0132952	putative tail assembly protein [ECs2946]
	FALSE	ECs4786	DNA polymerase I	cmr|ECs4786|asap|ACA-0134881	DNA polymerase I [ECs4786]
cmr|c_4858|asap|ABR-0081056	FALSE			cmr|c_4858|asap|ABR-0081056	Hypothetical protein [c_4858]
cmr|c_3178|asap|ABR-0079327	FALSE			cmr|c_3178|asap|ABR-0079327	Hypothetical protein [c_3178]
	FALSE	ECs1026	hypothetical protein	cmr|ECs1026|asap|ACA-0130940	hypothetical protein [ECs1026]
	FALSE	uvrB	excinuclease ABC subunit B	cmr|c_0860|asap|ABR-0076951	Excinuclease ABC subunit B [c_0860]
	FALSE	Z3155	unknown protein encoded by ISEc8	cmr|Z3155|cmr|Z2127|cmr|Z0366|cmr|Z1132	unknown protein encoded by ISEc8 [Z3155]
	FALSE	ECs0742	putative chaperone	cmr|ECs0742|asap|ACA-0130644	putative chaperone [ECs0742]
cmr|c_4511|asap|ABR-0080693	FALSE			cmr|c_4511|asap|ABR-0080693	Hypothetical protein [c_4511]
	FALSE	ECs0804	hypothetical protein	cmr|ECs0804|asap|ACA-0130714	putative membrane protein [ECs0804]
	FALSE	uvrA	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	cmr|b4058|asap|ABE-0013290	excision nuclease subunit A [b4058]
cmr|ECs2720|cmr|ECs2944|asap|ACA-0132711|asap|ACA-0132950	FALSE			cmr|ECs2720|cmr|ECs2944|asap|ACA-0132711|asap|ACA-0132950	putative host specificity protein [ECs2720]
	FALSE	Z2749	hypothetical protein	cmr|Z2749|asap|ABH-0026509	orf Unknown function [Z2749]
cmr|ECs3495|cmr|ECs1213|cmr|ECs1532|cmr|ECs1784	FALSE			cmr|ECs3495|cmr|ECs1213|cmr|ECs1532|cmr|ECs1784	putative endolysin [ECs3495]
	FALSE	ECs1628	hypothetical protein	cmr|ECs1628|asap|ACA-0131577	hypothetical protein [ECs1628]
	FALSE	yahF	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	cmr|b0320|asap|ABE-0001099	putative oxidoreductase subunit [b0320]
cmr|c_4492|asap|ABR-0080670	FALSE			cmr|c_4492|asap|ABR-0080670	ShiA homolog [c_4492]
	FALSE	yghR	predicted protein with nucleoside triphosphate hydrolase domain	cmr|b2984|asap|ABE-0009789	orf, hypothetical protein [b2984]
	FALSE	phnP	carbon-phosphorus lyase complex accessory protein	cmr|b4092|asap|ABE-0013412	phosphonate metabolism [b4092]
	FALSE	yecS	predicted transporter subunit: membrane component of ABC superfamily	cmr|b1918|asap|ABE-0006386	putative transport system permease protein [b1918]
	FALSE	yeaJ	predicted diguanylate cyclase	cmr|b1786|asap|ABE-0005943	orf, hypothetical protein [b1786]
	FALSE	fadA	3-ketoacyl-CoA thiolase	cmr|c_4792|asap|ABR-0080988	3-ketoacyl-CoA thiolase [c_4792]
	FALSE	mhpF	acetaldehyde-CoA dehydrogenase II, NAD-binding	cmr|b0351|asap|ABE-0001207	acetaldehyde dehydrogenase [b0351]
	FALSE	ECs2908	hypothetical protein	cmr|ECs2908|asap|ACA-0132913	hypothetical protein [ECs2908]
	FALSE	yfgI	Hypothetical protein yfgI	cmr|c_3025|asap|ABR-0079169	Hypothetical protein yfgI [c_3025]
cmr|c_3803|asap|ABR-0079974	FALSE			cmr|c_3803|asap|ABR-0079974	Putative Transposase [c_3803]
	FALSE	Z3276	putative fimbrial protein	cmr|Z3276|asap|ABH-0027002	putative fimbrial protein [Z3276]
cmr|c_0306|asap|ABR-0076379	FALSE			cmr|c_0306|asap|ABR-0076379	Conserved hypothetical protein [c_0306]
	FALSE	Z1507	hypothetical protein	cmr|Z1507|asap|ABH-0025312	putative enzyme [Z1507]
	FALSE	ybcH	predicted protein	cmr|b0567|asap|ABE-0001937	orf, hypothetical protein [b0567]
	FALSE	yjaH	conserved protein	cmr|b4001|asap|ABE-0013079	orf, hypothetical protein [b4001]
	FALSE	ECs0290	hypothetical protein	cmr|ECs0290|asap|ACA-0130180	hypothetical protein [ECs0290]
	FALSE	yfeY	predicted protein	cmr|b2432|asap|ABE-0008017	orf, hypothetical protein [b2432]
	FALSE	alx	predicted inner membrane protein, part of terminus	cmr|b3088|asap|ABE-0010151	putative transport protein [b3088]
	FALSE	Z1878	putative Bor protein of prophage CP-933X	cmr|Z1878|asap|ABH-0025674	putative Bor protein of prophage CP-933X [Z1878]
	FALSE	yccT	conserved protein	cmr|b0964|asap|ABE-0003262	orf, hypothetical protein [b0964]
cmr|c_3148|asap|ABR-0079296	FALSE			cmr|c_3148|asap|ABR-0079296	Hypothetical protein [c_3148]
	FALSE	chpR	antitoxin of the ChpA-ChpR toxin-antitoxin system	cmr|b2783|asap|ABE-0009122	suppressor of inhibitory function of ChpA, PemI-like, autoregulated [b2783]
cmr|c_1289|cmr|c_3678|cmr|c_5148|asap|ABR-0077391	FALSE			cmr|c_1289|cmr|c_3678|cmr|c_5148|asap|ABR-0077391	Unknown protein encoded within prophage [c_1289]
	FALSE	ECs1930	hypothetical protein	cmr|ECs1930|asap|ACA-0131895	hypothetical protein [ECs1930]
cmr|c_3713|asap|ABR-0079884	FALSE			cmr|c_3713|asap|ABR-0079884	Hypothetical protein [c_3713]
	FALSE	yrbA	predicted DNA-binding transcriptional regulator	cmr|b3190|asap|ABE-0010481	orf, hypothetical protein [b3190]
cmr|c_3718|asap|ABR-0079889	FALSE			cmr|c_3718|asap|ABR-0079889	Protein ytfJ precursor [c_3718]
	FALSE	slyB	outer membrane lipoprotein	cmr|b1641|asap|ABE-0005493	putative outer membrane protein [b1641]
	FALSE	fliD	flagellar filament capping protein	cmr|b1924|asap|ABE-0006407	flagellar biosynthesis; filament capping protein; enables filament assembly [b1924]
	FALSE	prrA	Putative outer membrane receptor, probably tonB dependent	cmr|c_1646|asap|ABR-0077757	Putative outer membrane receptor, probably tonB dependent [c_1646]
	FALSE	ECs1224	hypothetical protein	cmr|ECs1224|asap|ACA-0131151	hypothetical protein [ECs1224]
	FALSE	yahD	putative transcription factor	cmr|Z0407|asap|ABH-0024296	putative transcription factor [Z0407]
	FALSE	Z2249	hypothetical protein	cmr|Z2249|asap|ABH-0026023	orf Unknown function [Z2249]
	FALSE	gutQ	D-arabinose 5-phosphate isomerase	cmr|c_3262|asap|ABR-0079418	GutQ protein [c_3262]
	FALSE	ytfJ	predicted transcriptional regulator	cmr|b4216|asap|ABE-0013792	orf, hypothetical protein [b4216]
	FALSE	proW	glycine betaine transporter subunit	cmr|b2678|asap|ABE-0008816	high-affinity transport system for glycine betaine and proline [b2678]
	FALSE	yjfZ	predicted protein	cmr|b4204|asap|ABE-0013748	orf, hypothetical protein [b4204]
	FALSE	dacA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	cmr|b0632|asap|ABE-0002168	D-alanyl-D-alanine carboxypeptidase, fraction A; penicillin-binding protein 5 [b0632]
cmr|c_4398|asap|ABR-0080575	FALSE			cmr|c_4398|asap|ABR-0080575	Hypothetical protein [c_4398]
cmr|c_1890|asap|ABR-0078008	FALSE			cmr|c_1890|asap|ABR-0078008	Hypothetical protein [c_1890]
	FALSE	ydcP	predicted peptidase	cmr|b1435|asap|ABE-0004786	putative collagenase [b1435]
	FALSE	Z1537	putative chaperone	cmr|Z1537|asap|ABH-0025342	putative chaperone [Z1537]
cmr|c_1740|asap|ABR-0077856	FALSE			cmr|c_1740|asap|ABR-0077856	Hypothetical protein [c_1740]
	FALSE	ccmH	heme lyase, CcmH subunit	cmr|b2194|asap|ABE-0007262	possible subunit of heme lyase [b2194]
cmr|c_3386|asap|ABR-0079544	FALSE			cmr|c_3386|asap|ABR-0079544	Conserved hypothetical protein [c_3386]
	FALSE	ECs0766	hypothetical protein	cmr|ECs0766|asap|ACA-0130669	hypothetical protein [ECs0766]
cmr|c_3379|asap|ABR-0079534	FALSE			cmr|c_3379|asap|ABR-0079534	Hypothetical protein [c_3379]
	FALSE	rlmG	predicted methyltransferase small domain	cmr|b3084|asap|ABE-0010133	putative enzyme [b3084]
cmr|c_2558|asap|ABR-0078692	FALSE			cmr|c_2558|asap|ABR-0078692	Mannose-1-phosphate guanylyltransferase [c_2558]
	FALSE	chaC	regulatory protein for cation transport	cmr|b1218|asap|ABE-0004089	cation transport regulator [b1218]
	FALSE	ECs1238	hypothetical protein	cmr|ECs1238|asap|ACA-0131165	hypothetical protein [ECs1238]
	FALSE	yncI	pseudo	cmr|b1459|asap|ABE-0004868	orf, hypothetical protein [b1459]
	FALSE	ymbA	Hypothetical protein ymbA	cmr|c_1088|asap|ABR-0077181	Hypothetical protein ymbA [c_1088]
	FALSE	yheL	predicted intracellular sulfur oxidation protein	cmr|b3343|asap|ABE-0010922	orf, hypothetical protein [b3343]
	FALSE	ECs1336	hypothetical protein	cmr|ECs1336|asap|ACA-0131273	hypothetical protein [ECs1336]
cmr|b3112|asap|ABE-0174101	FALSE			cmr|b3112|asap|ABE-0174101	putative L-serine dehydratase [b3112]
	FALSE	Z5687	hypothetical protein	cmr|Z5687|asap|ABH-0029261	putative aldolase [Z5687]
	FALSE	cmtA	predicted fused mannitol-specific PTS enzymes: IIB component/IIC component	cmr|b2933|asap|ABE-0009621	PTS system, mannitol-specific enzyme II component, cryptic [b2933]
	FALSE	pabC	4-amino-4-deoxychorismate lyase	cmr|c_1366|asap|ABR-0077469	4-amino-4-deoxychorismate lyase [c_1366]
cmr|c_0138|cmr|c_0354|cmr|c_1263|cmr|c_1520	FALSE			cmr|c_0138|cmr|c_0354|cmr|c_1263|cmr|c_1520	Unknown protein of IS629 encoded within prophage [c_0138]
	FALSE	flgF	flagellar component of cell-proximal portion of basal-body rod	cmr|b1077|asap|ABE-0003649	flagellar biosynthesis, cell-proximal portion of basal-body rod [b1077]
	FALSE	lacZ	beta-D-galactosidase	cmr|c_0459|asap|ABR-0076534	Beta-galactosidase [c_0459]
	FALSE	betT	choline transporter of high affinity	cmr|b0314|asap|ABE-0001080	high-affinity choline transport [b0314]
	FALSE	rpmG	50S ribosomal subunit protein L33	cmr|b3636|asap|ABE-0011883	50S ribosomal subunit protein L33 [b3636]
	FALSE	ftsN	essential cell division protein	cmr|b3933|asap|ABE-0012850	essential cell division protein [b3933]
cmr|ECs1369|asap|ACA-0131310	FALSE			cmr|ECs1369|asap|ACA-0131310	hypothetical protein [ECs1369]
	FALSE	ydaM	predicted diguanylate cyclase, GGDEF domain signalling protein	cmr|b1341|asap|ABE-0004504	orf, hypothetical protein [b1341]
	FALSE	ycaK	conserved protein	cmr|b0901|asap|ABE-0003065	orf, hypothetical protein [b0901]
cmr|c_4762|asap|ABR-0080958	FALSE			cmr|c_4762|asap|ABR-0080958	Putative permease [c_4762]
cmr|c_3752|asap|ABR-0079923	FALSE			cmr|c_3752|asap|ABR-0079923	Hypothetical zinc-type alcohol dehydrogenase-like protein yjjN [c_3752]
cmr|c_2510|asap|ABR-0078641	FALSE			cmr|c_2510|asap|ABR-0078641	Hypothetical protein [c_2510]
cmr|c_4209|asap|ABR-0080385	FALSE			cmr|c_4209|asap|ABR-0080385	Putative minor fimbrial subunit precursor [c_4209]
--ETG10_195139	pos				
	FALSE	tfaX	pseudo	cmr|b0563	orf, hypothetical protein [b0563]
	FALSE	ECs0230	hypothetical protein	cmr|ECs0230|asap|ACA-0130116	hypothetical protein [ECs0230]
	FALSE	Z2501	partial putative membrane transport protein	cmr|Z2501|asap|ABH-0026241	partial putative membrane transport protein [Z2501]
	FALSE	sgcX	KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain	cmr|b4305|asap|ABE-0014112	putative lyase/synthase [b4305]
	FALSE	escN	escN	cmr|Z5119|asap|ABH-0028761	escN [Z5119]
	FALSE	yahB	predicted DNA-bindng transcriptional regulator	cmr|b0316|asap|ABE-0001088	putative transcriptional regulator LYSR-type [b0316]
cmr|c_4434|asap|ABR-0080611	FALSE			cmr|c_4434|asap|ABR-0080611	Hypothetical protein [c_4434]
